ticker,security,sector,sub_industry,cik
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0000002488
APD,Air Products,Materials,Industrial Gases,0000002969
SWKS,Skyworks Solutions,Information Technology,Semiconductors,0000004127
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,0000004281
AEP,American Electric Power,Utilities,Electric Utilities,0000004904
AXP,American Express,Financials,Consumer Finance,0000004962
AFL,Aflac,Financials,Life & Health Insurance,0000004977
AIG,American International Group,Financials,Multi-line Insurance,0000005272
ADI,Analog Devices,Information Technology,Semiconductors,0000006281
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0000006951
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0000007084
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0000008670
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,0000008818
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",0000009389
BAX,Baxter International,Health Care,Health Care Equipment,0000010456
BDX,Becton Dickinson,Health Care,Health Care Equipment,0000010795
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,0000011544
BA,Boeing,Industrials,Aerospace & Defense,0000012927
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,0000014272
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,0000014693
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,0000016732
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,0000016918
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,0000018230
JPM,JPMorgan Chase,Financials,Diversified Banks,0000019617
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0000020286
CLX,Clorox,Consumer Staples,Household Products,0000021076
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0000021344
CL,Colgate-Palmolive,Consumer Staples,Household Products,0000021665
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,0000023217
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,0000024545
